530.9500122070312, CU, 79
532.1336059570312, CU, 8
532.1336059570312, CU, 81
534.580810546875, CU, 65
561.2993774414062, CU, 67
574.9243774414062, CU, 95
575.4868774414062, CU, 11
598.8306274414062, CU, 25
602.8306274414062, CU, 78
603.8306274414062, CU, 72
631.6284790039062, CU, 82
636.9409790039062, CU, 22
640.3472290039062, CU, 51
640.3472290039062, CU, 53
640.3472290039062, CU, 93
642.3472290039062, CU, 58
642.3472290039062, CU, 68
645.3472290039062, CU, 64
665.5034790039062, CU, 39
670.5034790039062, CU, 50
671.5034790039062, CU, 36
671.5034790039062, CU, 92
